,Partido,Localidad,,,CABLEMODEM,DIALUP,,,WIRELESS,TELEFONIAFIJA,,,link,Latitud,
,General Pinto,Germania (Est. Mayor José Orellano),,,--,--,,,--,,SI,SI,6351030,,"-62,0518306894073"
BUENOS AIRES,,Gunther,23,--,,--,--,--,,--,SI,,6351035,"-34,5994995308259","-61,9164989081536"
BUENOS AIRES,,,1176,--,,,SI,SI,,SI,,SI,6351040,"-34,7913160212074",
,General Pinto,Villa Roth (Est. Ingeniero Balbín),38,,--,--,--,,--,,--,--,,,"-62,1710489234118"
,General Pueyrredón,Barrio Colinas Verdes,,,--,--,,,SI,,SI,SI,6351020,,"-57,8261645643114"
BUENOS AIRES,General Pueyrredón,Barrio El Boquerón,,--,--,--,,--,SI,--,,SI,6357020,"-38,0297229162982",
,General Pueyrredón,Barrio El Casal,,,--,--,--,,SI,--,,,6357110,"-37,8324145231571",
BUENOS AIRES,General Pueyrredón,,0,--,--,,SI,--,SI,,SI,SI,6357110,,"-57,7391824086455"
BUENOS AIRES,,Barrio La Gloria,415,--,,--,--,--,,--,SI,SI,,,"-57,7858860640391"
,General Pueyrredón,Barrio Santa Paula,,,--,--,,,SI,--,SI,,6357060,"-37,9317157840639","-57,683162032898"
BUENOS AIRES,General Pueyrredón,Batán,,SI,--,--,,SI,SI,SI,,,6357070,"-38,0086211557001",
BUENOS AIRES,General Pueyrredón,Camet,,SI,--,--,,--,SI,,SI,SI,6357090,,"-57,552463851894"
,Colón,Hocker,98,,--,--,--,,SI,--,--,SI,,"-32,0874958453901","-58,3417058444451"
BUENOS AIRES,Malvinas Argentinas,,42663,SI,SI,,SI,--,SI,SI,,SI,6515010,"-34,4790933125467",
BUENOS AIRES,,Los Polvorines,59169,SI,,,SI,SI,,SI,,,6515010,"-34,5078746726212",
BUENOS AIRES,,Malvinas Argentinas,408,--,,--,SI,--,,,--,--,,,"-58,7013439131882"
BUENOS AIRES,,,45901,SI,,,SI,--,,,SI,SI,6515010,,"-58,7513344097631"
,Malvinas Argentinas,Villa De Mayo,48136,,SI,SI,SI,,SI,SI,SI,,6515010,"-34,5061507591135",
,Mar Chiquita,Atlantida,,,--,--,,,--,--,,SI,6518020,"-37,8505519250944",
BUENOS AIRES,,,0,--,,,--,--,--,,SI,SI,,,"-57,4974692762018"
BUENOS AIRES,,Coronel Vidal,6611,SI,,--,SI,--,,SI,SI,SI,,"-37,452214188593","-57,7299500229319"
,Mar Chiquita,Frente Mar,,,--,--,,,--,--,,,6518020,"-37,857770246553",
BUENOS AIRES,San Miguel,San Miguel,,SI,SI,SI,,SI,SI,SI,SI,,6760010,"-34,5536228677773","-58,7347875195953"
BUENOS AIRES,,Campos Salles,0,--,,--,--,--,,,--,--,,,"-60,2846972878391"
BUENOS AIRES,San Nicolás,,2066,SI,--,,--,SI,--,SI,SI,SI,,"-33,5962124822607","-60,3541264450858"
BUENOS AIRES,,,434,--,,,--,--,,--,--,,6763020,"-33,5232449410318","-60,3174454958625"
BUENOS AIRES,,General Rojo,2464,--,,--,SI,SI,,SI,,SI,6763030,"-33,4758683523604",
,San Nicolás,La Emilia,,,--,--,,,--,--,SI,SI,,"-33,3514852802661","-60,3139573529074"
,San Nicolás,San Nicolás de los Arroyos,133602,,SI,SI,SI,,SI,,SI,SI,,,"-60,231333927581"
BUENOS AIRES,,Villa Campi,0,--,,--,--,--,,--,,--,6763010,"-33,3599587304228",
BUENOS AIRES,San Nicolás,,0,--,--,,--,--,--,--,SI,,6763010,"-33,3708479748","-60,2954116362263"
BUENOS AIRES,San Nicolás,,386,--,--,,--,--,--,,--,--,,,"-60,2605874904382"
BUENOS AIRES,,,0,--,,,--,--,,--,--,--,,"-33,3630498059477","-60,2953990898749"
BUENOS AIRES,San Pedro,Gobernador Castro,,--,--,--,,--,--,--,,SI,6770010,"-33,6605787290919",
,San Pedro,Ingeniero Moneta,,,--,--,,,--,--,--,,6770015,"-33,9314631330704","-59,7482330053997"
,San Pedro,Obligado,261,,--,--,--,,--,--,--,SI,,"-33,5965558617631","-59,8199792397796"
BUENOS AIRES,San Pedro,Pueblo Doyle,,,--,--,,--,--,,--,--,,,"-59,8187532271261"
BUENOS AIRES,,Río Tala,1814,--,,--,SI,--,,--,SI,,6770040,"-33,769589927701","-59,6383708591324"
BUENOS AIRES,San Pedro,,47452,SI,SI,,SI,SI,,SI,,,6770050,"-33,6791252253366",
,San Pedro,Santa Lucía,,,--,--,,,--,,SI,SI,6770060,,"-59,8753284459435"
,San Vicente,Alejandro Korn,34760,,SI,SI,SI,,SI,,SI,SI,,,"-58,3865346894091"
BUENOS AIRES,,,0,--,,,--,--,,SI,,SI,6778020,"-35,048692550243",
BUENOS AIRES,San Vicente,,23405,SI,SI,,SI,--,SI,SI,SI,,6778020,"-35,010404143813",
,Suipacha,General Rivas,,,--,--,,,SI,,--,SI,6784010,,"-59,7504234207746"
BUENOS AIRES,Suipacha,Suipacha,,SI,--,SI,,--,SI,,SI,SI,,,"-59,6879181821818"
BUENOS AIRES,Tandil,De la Canal,,--,--,--,,,SI,--,,,6791010,"-37,1293125663244",
,COMUNA 04,PARQUE PATRICIOS,40985,,SI,SI,SI,,SI,SI,,SI,2000010,"-34,6375496406835",
CHUBUT,Gaiman,,4730,SI,,,SI,SI,--,SI,SI,SI,,"-43,288807480447","-65,4924135000744"
CHUBUT,,Blancuntre,82,--,,--,--,SI,,,--,--,26049010,,"-68,9190916237139"
,Gastre,El Escorial,89,,--,--,--,,--,SI,,,26049020,"-43,098070041959",
,Gastre,Gastre,,,--,--,,,SI,SI,--,,26049030,"-42,2656204565429","-69,2210978977662"
,Gastre,Lagunita Salada,,,--,--,,,SI,SI,--,--,,"-42,7167792838299","-69,1884723935703"
CHUBUT,Gastre,Yala Laubat,,--,--,--,,SI,--,,--,--,26049050,,"-68,875421794475"
