,Partido,Localidad,ADSL,,DIALUP,FIBRAOPTICA,4G,,TELEFONIAFIJA,,SATELITAL
CHUBUT,Paso de Indios,,--,--,--,,--,--,SI,,SI
CHUBUT,,,--,--,,,SI,--,,--,SI
CHUBUT,,Playa Magagna,--,SI,,--,--,--,,SI,
,Bragado,Bragado,,,SI,SI,,,SI,SI,--
,Bragado,Comodoro Py,--,,--,SI,SI,,--,,--
,Bragado,General O'Brien,SI,,--,SI,SI,,SI,SI,
BUENOS AIRES,Bragado,Irala,,SI,--,--,,--,SI,SI,--
BUENOS AIRES,,La Limpia,--,--,,,--,--,,,--
BUENOS AIRES,Bragado,,--,--,--,,--,--,--,--,--
BUENOS AIRES,Bragado,Mechita (Est. Mecha),,SI,--,--,,--,--,SI,
,Bragado,Olascoaga,,,--,--,,,--,SI,
BUENOS AIRES,,Warnes,SI,--,,--,--,--,,,--
BUENOS AIRES,,,--,--,,,SI,--,,,--
,Brandsen,Barrio El Mirador,--,,--,--,SI,,--,--,
,Brandsen,Barrio Las Golondrinas,,,--,--,,,--,--,
BUENOS AIRES,Brandsen,Barrio Los Bosquecitos,,--,--,--,,--,--,,--
,Brandsen,Barrio Parque Las Acacias,--,,--,--,,,--,--,--
BUENOS AIRES,Brandsen,,--,--,--,,SI,SI,--,--,
BUENOS AIRES,,Club de Campo Las Malvinas,--,--,,--,--,--,,--,
,Paraná,Pueblo Moreno,,,--,--,,,--,--,--
RIO NEGRO,General Roca,Barrio Unión,,--,--,--,,--,--,,--
,Brandsen,Coronel Brandsen,,,--,SI,SI,,SI,SI,
BUENOS AIRES,Brandsen,Gómez,,--,--,--,,--,SI,--,--
BUENOS AIRES,,Jeppener,SI,--,,SI,SI,SI,,,--
BUENOS AIRES,Brandsen,,--,--,--,,SI,--,SI,,--
BUENOS AIRES,,,--,--,,,SI,SI,,--,
BUENOS AIRES,,Samborombón,--,--,,--,--,--,,--,
,Campana,Alto Los Cardales,,,--,SI,,,--,SI,--
,Campana,Barrio Los Pioneros,--,,--,--,SI,,--,,--
BUENOS AIRES,,Campana,SI,SI,,SI,SI,SI,,SI,
BUENOS AIRES,Campana,,--,--,--,,SI,SI,,SI,--
BUENOS AIRES,Campana,Lomas del Río Luján (Est. Río Luján),,SI,--,--,,SI,--,,--
,General Rodríguez,General Rodríguez,SI,,SI,SI,SI,,SI,SI,SI
BUENOS AIRES,General San Martín,,--,--,SI,,SI,--,SI,SI,
BUENOS AIRES,,,SI,SI,,,SI,SI,,--,--
BUENOS AIRES,,Ciudad Del Libertador General San Martin,SI,SI,,SI,SI,SI,,SI,SI
BUENOS AIRES,,,--,SI,,,SI,SI,,,--
,General San Martín,Va Ma Irene De Los Remedios De Escalada,--,,--,--,SI,,--,--,--
,General San Martín,Villa Ayacucho,,,--,SI,,,--,--,
BUENOS AIRES,,,SI,SI,,,SI,SI,SI,,--
BUENOS AIRES,,Villa Bernardo Monteagudo,--,SI,,SI,SI,SI,,--,--
BUENOS AIRES,,,--,SI,,SI,SI,SI,,--,
BUENOS AIRES,General San Martín,,--,SI,--,,SI,SI,--,--,--
,General San Martín,Villa General Antonio J. De Sucre,--,,--,SI,SI,,--,,--
BUENOS AIRES,General San Martín,Villa General Eugenio Necochea,,SI,--,SI,,SI,--,--,--
,General San Martín,Villa General Jose Tomas Guido,,,--,SI,,,--,--,--
,General San Martín,Villa General Juan G. Las Heras,--,,--,SI,SI,,--,--,
BUENOS AIRES,,,--,SI,,,SI,SI,,--,--
BUENOS AIRES,,Villa Granaderos De San Martín,--,SI,,SI,SI,SI,,,--
,General San Martín,Villa Gregoria Matorras,--,,--,SI,SI,,--,--,
BUENOS AIRES,General San Martín,Villa José León Suarez,,SI,--,SI,,,SI,SI,
BUENOS AIRES,Mercedes,,--,--,--,,SI,SI,--,,--
BUENOS AIRES,,Jorge Born,--,--,,--,--,--,,,--
BUENOS AIRES,Mercedes,Mercedes,,SI,SI,SI,,SI,SI,SI,
,Mercedes,Tomás Jofré,,,--,--,--,,--,--,--
,Merlo,Libertad,SI,,SI,SI,SI,,SI,,SI
,Merlo,Mariano Acosta,,,--,SI,,,SI,,--
BUENOS AIRES,,Merlo,SI,SI,,SI,SI,SI,,SI,
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,
BUENOS AIRES,Merlo,San Antonio De Padua,,,SI,SI,,SI,SI,,--
,Monte,Abbott,--,,--,SI,SI,,SI,SI,SI
,Monte,San Miguel del Monte (Est. Monte),,,SI,SI,,,SI,SI,
BUENOS AIRES,Monte,Zenón Videla Dorna,,--,--,--,,--,--,--,
BUENOS AIRES,,,SI,--,,,SI,SI,,,--
BUENOS AIRES,Monte Hermoso,,SI,--,--,,SI,SI,SI,,--
BUENOS AIRES,Moreno,,--,SI,SI,,SI,SI,,SI,--
BUENOS AIRES,,Francisco Alvarez,SI,SI,,SI,SI,SI,,SI,
,Tigre,Don Torcuato Este,,,SI,SI,,SI,SI,,--
,Tigre,Don Torcuato Oeste,--,,--,--,SI,,--,,--
BUENOS AIRES,,El Talar,SI,SI,,SI,SI,SI,,SI,
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,SI
BUENOS AIRES,Tigre,Los Troncos Del Talar,,SI,--,SI,,SI,SI,,SI
,Tigre,Nordelta,,,--,SI,,,SI,--,--
RIO NEGRO,Ñorquincó,,--,--,--,,--,--,SI,--,
RIO NEGRO,,,--,--,,,--,--,,--,SI
RIO NEGRO,,Ojos de Agua,--,--,,--,--,--,,--,--
BUENOS AIRES,,,SI,SI,,,SI,SI,SI,,--
,Tigre,Rincón de Milberg,SI,,--,SI,SI,,SI,SI,--
BUENOS AIRES,Tigre,Tigre,,SI,--,SI,,,SI,SI,
